what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1353391619810
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1353391620433
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1353391620705
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1353391621153
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1353391621622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353391624814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353391627311
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1353391628918
error,log,,,"Internal Error",1353391651506
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1353391652548
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353391654640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353391658912
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1353391668199
error,log,,,"Internal Error",1353391675880
error,log,,,"Internal Error",1353391692771
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1353391707127
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1353391708879
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1353391725980
error,log,,,"Internal Error",1353391732569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353391732637
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1353391732674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353391748431
